run_id,timestamp,commit,config,split,data_version,threshold,balanced_accuracy,f1,accuracy,tpr,fpr,note
run_001,2026-04-07T20:58:10.980439+00:00,079ffba,m2,val,v1,0.9600000000000001,0.596561,0.572555,,0.75,0.556878,Baseline v1 threshold sweep on val - select operating threshold
run_002,2026-04-07T20:58:12.853462+00:00,079ffba,m2,val,v1,0.9600000000000001,0.596561,0.572555,0.562903,0.75,0.556878,Baseline v1 selected-threshold eval on val (thr=0.9600)
run_003,2026-04-07T20:58:18.556460+00:00,079ffba,m2,test,v1,0.9600000000000001,0.593501,0.558678,0.565147,0.716102,0.529101,Baseline v1 final test reporting (locked thr=0.9600)
run_004,2026-04-07T20:58:20.157052+00:00,079ffba,m2,val,v2,0.97,0.606405,0.563574,,0.508264,0.295455,Post data-centric change (v2 pairs) threshold sweep on val
run_005,2026-04-07T20:58:21.581857+00:00,079ffba,m2,test,v2,0.97,0.617585,0.569726,0.617585,0.506356,0.271186,Post data-centric change (v2) final test reporting (thr=0.9700)
run_006,2026-04-08T18:25:24.574643+00:00,079ffba,m3,val,v2,0.68,0.975207,0.975052,0.975207,0.969008,0.018595,M3 FaceNet threshold sweep on val - select operating threshold
run_007,2026-04-08T18:26:41.035017+00:00,079ffba,m3,test,v2,0.68,0.976695,0.976842,0.976695,0.983051,0.029661,M3 FaceNet final test reporting (thr=0.6800)
run_008,2026-04-14T16:27:18.007912+00:00,079ffba,m3,val,v2,0.68,0.983471,0.983505,0.983471,0.985537,0.018595,M3 FaceNet threshold sweep on val - select operating threshold
run_009,2026-04-14T16:28:37.976467+00:00,079ffba,m3,test,v2,0.68,0.977754,0.977825,0.977754,0.980932,0.025424,M3 FaceNet final test reporting (thr=0.6800)
run_010,2026-04-14T17:28:34.728308+00:00,079ffba,m3,val,v2,0.68,0.983471,0.983505,0.983471,0.985537,0.018595,M3 FaceNet threshold sweep on val - select operating threshold
run_011,2026-04-14T17:29:51.706740+00:00,079ffba,m3,test,v2,0.68,0.977754,0.977825,0.977754,0.980932,0.025424,M3 FaceNet final test reporting (thr=0.6800)
run_012,2026-04-14T17:40:35.551691+00:00,unknown,m3,val,v2,0.6900000000000001,0.981405,0.981366,0.981405,0.979339,0.016529,M3 FaceNet threshold sweep on val - select operating threshold
run_013,2026-04-14T17:41:44.280269+00:00,unknown,m3,test,v2,0.6900000000000001,0.977754,0.977731,0.977754,0.976695,0.021186,M3 FaceNet final test reporting (thr=0.6900)
